lat,lon
41.704209,-8.798070
41.704197,-8.798061
41.704185,-8.798052
41.704173,-8.798043
41.704162,-8.798034
41.704150,-8.798025
41.704138,-8.798016
41.704127,-8.798008
41.704115,-8.797999
41.704104,-8.797991
41.704093,-8.797983
41.704082,-8.797975
41.704071,-8.797967
41.704059,-8.797959
41.704048,-8.797951
41.704037,-8.797943
41.704026,-8.797935
41.704014,-8.797927
41.704003,-8.797919
41.703992,-8.797911
41.703981,-8.797902
41.703970,-8.797894
41.703959,-8.797885
41.703948,-8.797877
41.703937,-8.797868
41.703927,-8.797860
41.703917,-8.797852
41.703907,-8.797845
41.703897,-8.797837
41.703887,-8.797829
41.703877,-8.797822
41.703868,-8.797815
41.703858,-8.797807
41.703846,-8.797799
41.703835,-8.797790
41.703824,-8.797781
41.703813,-8.797773
41.703801,-8.797764
41.703790,-8.797756
41.703779,-8.797747
41.703768,-8.797739
41.703756,-8.797729
41.703744,-8.797720
41.703732,-8.797711
41.703719,-8.797701
41.703707,-8.797692
41.703695,-8.797683
41.703683,-8.797673
41.703671,-8.797664
41.703660,-8.797656
41.703650,-8.797648
41.703640,-8.797640
41.703630,-8.797631
41.703620,-8.797623
41.703609,-8.797615
41.703598,-8.797607
41.703588,-8.797598
41.703574,-8.797587
41.703559,-8.797576
41.703545,-8.797565
41.703531,-8.797554
41.703516,-8.797543
41.703502,-8.797532
41.703488,-8.797521
41.703474,-8.797510
41.703468,-8.797505
41.703462,-8.797499
41.703456,-8.797493
41.703449,-8.797488
41.703443,-8.797483
41.703436,-8.797477
41.703429,-8.797472
41.703423,-8.797466
41.703416,-8.797461
41.703409,-8.797456
41.703402,-8.797451
41.703396,-8.797446
41.703390,-8.797441
41.703383,-8.797436
41.703377,-8.797431
41.703370,-8.797426
41.703363,-8.797421
41.703357,-8.797415
41.703351,-8.797410
41.703345,-8.797404
41.703339,-8.797398
41.703333,-8.797393
41.703327,-8.797387
41.703320,-8.797382
41.703313,-8.797376
41.703306,-8.797370
41.703299,-8.797365
41.703292,-8.797359
41.703285,-8.797353
41.703278,-8.797347
41.703271,-8.797341
41.703264,-8.797335
41.703258,-8.797330
41.703252,-8.797325
41.703246,-8.797320
41.703239,-8.797315
41.703233,-8.797310
41.703227,-8.797304
41.703221,-8.797299
41.703215,-8.797294
41.703208,-8.797288
41.703201,-8.797282
41.703194,-8.797275
41.703187,-8.797269
41.703180,-8.797263
41.703173,-8.797256
41.703165,-8.797250
41.703158,-8.797244
41.703152,-8.797238
41.703145,-8.797233
41.703138,-8.797227
41.703131,-8.797222
41.703125,-8.797217
41.703118,-8.797211
41.703112,-8.797206
41.703105,-8.797200
41.703098,-8.797194
41.703092,-8.797189
41.703086,-8.797183
41.703080,-8.797177
41.703074,-8.797172
41.703067,-8.797166
41.703060,-8.797160
41.703054,-8.797154
41.703047,-8.797149
41.703041,-8.797143
41.703034,-8.797137
41.703027,-8.797132
41.703020,-8.797127
41.703013,-8.797121
41.703007,-8.797116
41.703000,-8.797110
41.702992,-8.797104
41.702984,-8.797097
41.702976,-8.797090
41.702968,-8.797083
41.702960,-8.797076
41.702952,-8.797070
41.702945,-8.797064
41.702937,-8.797057
41.702928,-8.797049
41.702920,-8.797040
41.702911,-8.797031
41.702902,-8.797023
41.702893,-8.797014
41.702884,-8.797006
41.702875,-8.796997
41.702867,-8.796989
41.702858,-8.796982
41.702850,-8.796974
41.702842,-8.796966
41.702834,-8.796958
41.702826,-8.796951
41.702818,-8.796943
41.702810,-8.796936
41.702801,-8.796928
41.702794,-8.796921
41.702787,-8.796914
41.702780,-8.796907
41.702773,-8.796901
41.702766,-8.796895
41.702759,-8.796888
41.702752,-8.796881
41.702744,-8.796874
41.702735,-8.796867
41.702726,-8.796859
41.702717,-8.796851
41.702708,-8.796843
41.702699,-8.796835
41.702690,-8.796827
41.702680,-8.796819
41.702671,-8.796811
41.702663,-8.796803
41.702655,-8.796795
41.702647,-8.796786
41.702638,-8.796778
41.702630,-8.796769
41.702621,-8.796761
41.702613,-8.796753
41.702605,-8.796744
41.702597,-8.796737
41.702590,-8.796730
41.702582,-8.796723
41.702574,-8.796715
41.702566,-8.796708
41.702558,-8.796701
41.702551,-8.796693
41.702543,-8.796686
41.702534,-8.796678
41.702526,-8.796670
41.702517,-8.796663
41.702509,-8.796655
41.702500,-8.796647
41.702492,-8.796639
41.702484,-8.796632
41.702476,-8.796624
41.702467,-8.796616
41.702458,-8.796608
41.702449,-8.796599
41.702440,-8.796591
41.702431,-8.796582
41.702422,-8.796574
41.702413,-8.796565
41.702405,-8.796557
41.702397,-8.796549
41.702389,-8.796540
41.702381,-8.796532
41.702373,-8.796523
41.702365,-8.796515
41.702357,-8.796506
41.702349,-8.796498
41.702341,-8.796489
41.702332,-8.796480
41.702323,-8.796471
41.702314,-8.796463
41.702305,-8.796454
41.702296,-8.796446
41.702287,-8.796437
41.702278,-8.796428
41.702269,-8.796419
