lat,lon
41.704043,-8.798463
41.704040,-8.798443
41.704037,-8.798423
41.704034,-8.798403
41.704031,-8.798383
41.704028,-8.798363
41.704025,-8.798343
41.704021,-8.798323
41.704018,-8.798303
41.704012,-8.798283
41.704005,-8.798263
41.703999,-8.798243
41.703993,-8.798223
41.703987,-8.798203
41.703981,-8.798183
41.703975,-8.798163
41.703969,-8.798143
41.703960,-8.798126
41.703951,-8.798109
41.703942,-8.798092
41.703933,-8.798076
41.703924,-8.798060
41.703914,-8.798043
41.703905,-8.798026
41.703896,-8.798009
41.703888,-8.797995
41.703879,-8.797980
41.703870,-8.797965
41.703861,-8.797950
41.703852,-8.797936
41.703843,-8.797921
41.703834,-8.797906
41.703825,-8.797892
41.703816,-8.797880
41.703806,-8.797868
41.703796,-8.797856
41.703786,-8.797845
41.703776,-8.797833
41.703766,-8.797822
41.703756,-8.797811
41.703746,-8.797799
41.703734,-8.797788
41.703722,-8.797776
41.703710,-8.797764
41.703697,-8.797752
41.703684,-8.797740
41.703672,-8.797728
41.703660,-8.797716
41.703648,-8.797705
41.703637,-8.797697
41.703627,-8.797688
41.703616,-8.797679
41.703606,-8.797670
41.703595,-8.797661
41.703585,-8.797652
41.703575,-8.797643
41.703564,-8.797634
41.703550,-8.797623
41.703537,-8.797612
41.703524,-8.797602
41.703511,-8.797591
41.703498,-8.797581
41.703485,-8.797570
41.703471,-8.797560
41.703458,-8.797549
41.703451,-8.797544
41.703445,-8.797539
41.703438,-8.797534
41.703431,-8.797529
41.703424,-8.797524
41.703418,-8.797519
41.703412,-8.797515
41.703405,-8.797510
41.703398,-8.797505
41.703392,-8.797500
41.703385,-8.797494
41.703379,-8.797489
41.703373,-8.797484
41.703367,-8.797479
41.703361,-8.797473
41.703354,-8.797468
41.703347,-8.797463
41.703341,-8.797458
41.703335,-8.797453
41.703329,-8.797447
41.703323,-8.797441
41.703317,-8.797436
41.703311,-8.797431
41.703305,-8.797426
41.703298,-8.797420
41.703291,-8.797414
41.703283,-8.797408
41.703276,-8.797403
41.703269,-8.797397
41.703261,-8.797392
41.703254,-8.797386
41.703247,-8.797381
41.703240,-8.797376
41.703234,-8.797370
41.703228,-8.797365
41.703222,-8.797360
41.703215,-8.797355
41.703209,-8.797349
41.703203,-8.797344
41.703197,-8.797339
41.703190,-8.797333
41.703183,-8.797327
41.703176,-8.797320
41.703169,-8.797314
41.703162,-8.797307
41.703154,-8.797301
41.703147,-8.797295
41.703140,-8.797289
41.703133,-8.797284
41.703127,-8.797279
41.703120,-8.797274
41.703114,-8.797269
41.703108,-8.797264
41.703102,-8.797259
41.703096,-8.797254
41.703089,-8.797249
41.703082,-8.797243
41.703075,-8.797237
41.703069,-8.797231
41.703062,-8.797224
41.703055,-8.797218
41.703048,-8.797211
41.703041,-8.797204
41.703034,-8.797198
41.703028,-8.797192
41.703021,-8.797186
41.703014,-8.797180
41.703008,-8.797175
41.703001,-8.797169
41.702995,-8.797163
41.702989,-8.797157
41.702982,-8.797151
41.702974,-8.797144
41.702966,-8.797137
41.702958,-8.797130
41.702950,-8.797123
41.702942,-8.797116
41.702934,-8.797109
41.702926,-8.797102
41.702918,-8.797095
41.702909,-8.797087
41.702900,-8.797080
41.702891,-8.797072
41.702883,-8.797064
41.702875,-8.797056
41.702866,-8.797048
41.702858,-8.797040
41.702849,-8.797032
41.702840,-8.797024
41.702831,-8.797016
41.702822,-8.797008
41.702813,-8.797000
41.702804,-8.796992
41.702795,-8.796983
41.702786,-8.796975
41.702777,-8.796967
41.702770,-8.796961
41.702763,-8.796954
41.702756,-8.796947
41.702749,-8.796940
41.702742,-8.796933
41.702736,-8.796926
41.702729,-8.796919
41.702722,-8.796913
41.702714,-8.796906
41.702706,-8.796898
41.702697,-8.796890
41.702689,-8.796882
41.702680,-8.796875
41.702672,-8.796867
41.702664,-8.796860
41.702656,-8.796852
41.702647,-8.796844
41.702639,-8.796836
41.702630,-8.796827
41.702622,-8.796819
41.702613,-8.796810
41.702605,-8.796802
41.702596,-8.796793
41.702588,-8.796785
41.702580,-8.796777
41.702572,-8.796769
41.702564,-8.796761
41.702556,-8.796753
41.702548,-8.796745
41.702540,-8.796737
41.702531,-8.796729
41.702523,-8.796720
41.702516,-8.796712
41.702509,-8.796705
41.702501,-8.796698
41.702494,-8.796691
41.702486,-8.796684
41.702479,-8.796676
41.702472,-8.796668
41.702464,-8.796661
41.702455,-8.796653
41.702445,-8.796644
41.702436,-8.796635
41.702427,-8.796626
41.702417,-8.796617
41.702408,-8.796608
41.702399,-8.796599
41.702389,-8.796590
41.702380,-8.796582
41.702372,-8.796573
41.702363,-8.796565
41.702355,-8.796556
41.702346,-8.796547
41.702338,-8.796539
41.702329,-8.796530
41.702321,-8.796521
41.702312,-8.796512
41.702304,-8.796503
41.702295,-8.796494
41.702287,-8.796485
41.702278,-8.796477
41.702270,-8.796468
41.702262,-8.796459
41.702254,-8.79645
